TextBlob_Analysis BI,TextBlob_Polarity BI,TextBlob_Subjectivity BI,TextBlob_Subjectivity TIn,TextBlob_Polarity TIn,TextBlob_Analysis TIn,TextBlob_Polarity BIM,TextBlob_Subjectivity BIM,TextBlob_Analysis BIM,TextBlob_Subjectivity TIm,TextBlob_Polarity TIm,TextBlob_Analysis TIm
Positive,0.122795128,0.483372271,0.457435916,0.004629055,Positive,-0.083333333,0.208333333,Negative,0.426900005,0.048458367,Positive
Positive,0.122222222,0.355555556,0.479664558,0.128750916,Positive,0.106502101,0.484178338,Positive,0.487614619,0.094243084,Positive
Positive,0.084982544,0.41503142,0.412366274,0.10292581,Positive,0.100249169,0.446802326,Positive,0.420833333,0.147916667,Positive
Positive,0.099507389,0.4408867,0.447670385,0.144021812,Positive,0.122464807,0.486348791,Positive,0.540740741,0.25,Positive
Positive,0.134523693,0.441844637,0.462859071,0.084649123,Positive,0.096382305,0.462896044,Positive,0.486986022,0.088428535,Positive
Positive,0.135242031,0.477538371,0.446409994,0.025973856,Positive,0.135933828,0.495675785,Positive,0.433706972,0.068585026,Positive
Positive,0.08001443,0.421847597,0.502788522,0.125435196,Positive,0.171728996,0.488049844,Positive,0.472127186,0.077865638,Positive
Positive,0.106398242,0.427131235,0.342757937,0.158508403,Positive,0.080194805,0.566404731,Positive,0.449315838,0.04478846,Positive
Positive,0.07252551,0.421345967,0.521448087,0.056313427,Positive,0.097776847,0.432444142,Positive,0.376641558,0.098380087,Positive
Positive,0.026661905,0.495695238,0.316666667,-0.01884058,Negative,0.100931294,0.572124931,Positive,0.48932838,0.046742424,Positive
Negative,-0.082010582,0.30015873,0.46195113,0.075566123,Positive,0.024154135,0.460996241,Positive,0,0,Neutral
Negative,-0.003660714,0.306309524,0.456113354,0.077321857,Positive,-0.035969388,0.516638322,Negative,0.394444444,0.333333333,Positive
Negative,-0.005679183,0.419611038,0.51966964,0.12894803,Positive,0.281818182,0.503535354,Positive,0.335714286,0.107142857,Positive
Positive,0.129473665,0.473074134,0.431044122,0.084734754,Positive,0.081918082,0.616631445,Positive,0.356926407,0.108387446,Positive
Positive,0.225,0.4625,0.504576948,0.105497504,Positive,-0.047222222,0.33343254,Negative,0.51,0.095,Positive
Positive,0.058066246,0.435628566,0.371904762,0.079322917,Positive,0.029166667,0.527083333,Positive,0.407450279,0.105495953,Positive
Positive,0.08445301,0.496635658,0.47779158,0.221759834,Positive,0.107611231,0.469033125,Positive,0.134943182,0.029545455,Positive
Positive,0.174884793,0.442626728,0.473805257,0.026466276,Positive,-0.004761905,0.379761905,Negative,0.338636364,0.259090909,Positive
Positive,0.098039216,0.461764706,0.417592197,0.134395583,Positive,0.433333333,0.733333333,Positive,0.425239609,0.120521062,Positive
Positive,0.049485199,0.491634492,0.390933141,0.044949495,Positive,0.172727273,0.331818182,Positive,0.492677448,0.131952953,Positive
Positive,0.096978355,0.394059163,0.509062856,0.175986845,Positive,-0.14,0.311428571,Negative,0.414919176,0.041600098,Positive
Positive,0.029572907,0.450200436,0.543400649,0.171074475,Positive,0.125,0.181818182,Positive,0.572197421,0.221676587,Positive
Positive,0.109571691,0.431685625,0.444179179,0.138729452,Positive,0.169080602,0.476645938,Positive,0.342797619,0.158392857,Positive
Positive,0.080507937,0.549888889,0.361997526,0.059585652,Positive,-0.051428571,0.423571429,Negative,0.454436366,0.125452564,Positive
Positive,0.15,0.56,0.533285714,0.100121212,Positive,-0.141666667,0.208333333,Negative,0.238888889,0.122222222,Positive
